,"https://7esl.com/synonyms/#comments, https://justenglish.me/2014/04/18/synonyms-for-the-96-most-commonly-used-words-in-english/"
word,synonyms
able,capable
absent,away
accept,"agree, admit"
accident,crash
account,consider
accurate,"right, proper, exact, valid, genuine, real, actual, steady, loyal"
achieve,finish
acknowledge,"answer, respond, reply"
acquire,"get, purchase, obtain"
act,behave
actual,"proper, exact, valid, real"
additional,extra
admire,"fancy, care, for, love, like"
advance,"approach, near, arrive, come, reach"
advise,"inform, assure, speak, insist, teach"
afraid,"worried, terrified, shy, frightened, scared, shocked"
aged,"old, ancient, traditional, mature, former, old-fashioned, weak"
aim,purpose
alarm,fear
alike,same
alive,"eager, enthusiastic, keen, to, interested"
all,every
allow,permit
almost,nearly
amazing,"incredible, unbelievable, wonderful, fantastic, extraordinary"
amount,quantity
amusing,"funny, comic, silly"
ancient,"old, aged, traditional, mature, former, old-fashioned, weak"
angry,"mad, furious, excited"
animated,lively
announce,"inform, declare, express, speak"
annoy,bother
answer,"reply, respond, acknowledge"
approach,"near, advance, arrive, come, reach"
area,"site, state, region, location, position, situation, place, space"
arrangement,agreement
arrive,reach
ask,"question, inquire, request"
assure,guarantee
attach,"add, append"
attempt,try
attend,"go to, participate"
attractive,"beautiful, lovely, pretty, fascinating, interesting"
author,writer
away,absent
awful,"terrible, bad, poor, unpleasant"
bad,"defective, unpleasant, horrible, wrong"
bag,sack
bear,"hold, have"
beautiful,"pretty, lovely, handsome, attractive, gorgeous, magnificent, fair, fine"
begin,"start, open, launch, initiate, commence"
behave,act
behind,"late, gradual, slow"
believe,"consider, trust, think"
below,under
benefit,"gain, profit"
big,"enormous, huge, large, great, tall, substantial, broad"
black,"sad, dark"
blank,empty
bold,brave
boring,"uninteresting, plain, stupid, dead, dull, slow"
bother,annoy
brand,"price, effect, note, sign, ticket, notice, impress, stamp, mark, label"
brave,bold
break,crash
breeze,blow
bright,"shiny, brilliant, intelligent, smart"
brilliant,"intelligent, smart, bright, shiny"
broad,wide
build,"create, develop, make, construct, establish"
business,trade
buy,purchase
cab,taxi
calm,"quiet, peaceful, still, mild, smooth"
cancel,"destroy, murder, kill"
cap,hat
capable,"proper, pleasant, superior, qualified, valid, reliable, fine, satisfactory, suitable, friendly, profitable, helpful, good, competent, excellent"
care,"fancy, for, admire, love, like"
career,job
carpet,rug
carry,"effect, achieve, perform, do, finish, out"
catch,"find, buy, acquire, get, net, hold, score, rep, steal, pick, choose, select, come, collect, remove, fetch, rob, lift, gain, purchase, win, bag, secure, obtain, take, earn, occupy, up, accept, prefer, by"
center,middle
certain,"definite, determined, sure, clear, positive, obvious"
challenging,"exciting, intelligent, interesting"
chance,opportunity
cheerful,"happy, satisfied, pleased, glad, delighted, gay"
child,kid
chilly,"cool, cold, icy"
choose,pick
circular,round
clarify,"explain, for, interpret, account"
clean,"tidy, smart, neat"
clear,"definite, determined, certain, sure, positive, obvious"
close,shut
coast,seashore
coat,jacket
cold,freezing
collect,"gather, accumulate"
come,"approach, advance, near, arrive, reach"
comic,"funny, amusing, silly"
command,"execute, require"
commence,"open, initiate, launch, start, begin"
common,"favorite, current, popular"
competent,capable
complete,finish
concern,"worry, trouble, effort, pain, difficulty, danger"
connect,join
consider,"think, believe, judge"
considerable,"great, important, essential, necessary, significant, famous"
construct,"create, manufacture, develop, build, make, produce, get, design"
contain,"have, include"
content,"material, data"
cool,"chilly, cold, icy"
cope,manage
correct,"good, proper, right, suitable, just, accurate"
cover,hide
crash,accident
create,"form, develop, build, perform, construct, make, do, produce"
crop,"reduce, cut, slice"
cross,"unfriendly, unpleasant, wrong, defective, horrible, nasty, rank, gross, bad"
cruise,"fly, wing, sail, coast"
cry,"shout, scream"
curious,"attractive, lively, strange, unusual, animated, bright, keen, spicy, exciting, irregular, fascinating, sharp, intelligent, challenging, interesting"
current,"favorite, unusual, popular, original, new, common, recent, modern, novel, fresh"
cut,"slice, crop, reduce"
dad,father
damage,"hurt, injure, pain"
danger,"worry, trouble, effort, pain, difficulty, concern"
dark,"black, sad"
dead,"uninteresting, plain, stupid, boring, dull, slow"
dear,expensive
decide,"settle, choose, resolve"
declare,"inform, tell, command, announce, order, advise, assure, speak, insist, teach"
defective,"unfriendly, unpleasant, wrong, cross, horrible, nasty, rank, gross, bad"
definite,"certain, sure, positive, determined, clear, obvious"
delicious,enjoyable
delighted,"cheerful, happy, satisfied, pleased, glad, gay"
deliver,bring
demand,"require, ask, expect, request"
demonstrate,"display, prove, note, exhibit, point, reveal, show, indicate, present, explain"
deny,"refuse, reject"
depart,leave
depressed,"unhappy, poor, sad, miserable, uncomfortable"
describe,"picture, represent, report, record"
design,"create, perform, draw, construct"
destroy,"ruin, waste, kill, end"
determined,"definite, certain, sure, clear, positive, obvious"
develop,"produce, evolve"
diagram,"scheme, graph, plot, map"
difficult,hard
difficulty,"worry, trouble, effort, pain, concern, danger"
direct,"straightforward, send"
disappear,"depart, move, travel, go"
discover,"find, learn, identify, reveal"
dislike,hate
display,"show, indicate, present, demonstrate, explain"
do,"carry, out, finish, effect, achieve"
down,below
drag,pull
draw,"method, plan, map, arrangement, procedure, diagram, scheme, design, way"
drop,fall
dull,"boring, uninteresting, slow, stupid, dead, plain"
eager,"keen, enthusiastic, interested, alive, to"
earn,"gain, realise, make, get, raise, obtain"
earth,ground
easy,simple
effect,"result, outcome"
effort,"attempt, try"
embarrassed,shy
employ,"exercise, spend, use"
empty,blank
encourage,"help, attend, on, wait, benefit, back, support, serve"
end,"stop, finish, close"
enjoy,"in, be, pleased, in, in, in, like"
enjoyable,delicious
enormous,huge
enquire,ask
enthusiastic,"eager, keen, to, alive, interested"
escape,"race, run, speed, hurry"
essential,"well-known, important, principal, valuable, necessary, considerable, primary, significant, famous"
establish,"effect, keep, set, achieve, build, put, attach, do, save, place"
every,all
exact,"precise, correct, accurate"
examine,"analyse, study, test, evaluate"
excellent,"superior, superb, fantastic, great, good, first-class"
excited,"mad, angry, furious"
exciting,"attractive, lively, animated, curious, bright, keen, spicy, fascinating, sharp, intelligent, challenging, interesting"
exercise,"employ, spend, use"
exhibit,"display, prove, note, point, reveal, show, indicate, present, demonstrate, explain"
expect,"inquire, demand, ask, of, request, put, to, examine, from, query, quiz, information, question"
expensive,dear
explain,"clarify, interpret, account, for"
explore,"observe, recognize, for, eye, peer, sight, see, glance, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look"
express,"show, speak"
expression,word
extra,additional
extraordinary,"unbelievable, incredible, fantastic, amazing, wonderful"
extremely,very
eye,oculus
fair,"just, objective, honest"
fall,drop
famous,well-known
fancy,"care, for, admire, love, like"
fantastic,great
fascinating,"attractive, lively, animated, curious, bright, keen, spicy, exciting, sharp, intelligent, challenging, interesting"
fast,"quick, rapid, fleet, quickly, like"
fat,full
father,dad
favorite,"current, common, popular"
fear,alarm
fetch,"pick, accept, by, get, catch, win, come, net, collect"
fill,"occupy, own, have, gain, fulfill"
find,discover
fine,"okay, alright, good, well"
finish,"end, stop"
fix,mend
fleet,"fast, rapid, like, quickly, quick"
flow,"stream, circulate"
fly,"wing, coast, sail, cruise"
forest,wood
forgive,pardon
form,"obtain, create, manufacture, earn, invent, develop, build, gain, acquire, perform, construct, make, do, produce, get, design"
former,previous
fortunate,lucky
freezing,cold
fresh,new
friendly,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, generous, reliable, superior, qualified, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful"
frightened,"worried, afraid, terrified, shy, scared, shocked"
frightening,"plain, unpleasant, horrible, shocking, ugly, gross"
from,"inquire, demand, ask, expect, of, request, put, to, examine, query, quiz, information, question"
full,fat
funny,"amusing, comic, silly"
furious,angry
gain,obtain
gay,"cheerful, happy, satisfied, pleased, glad, delighted"
generally,usually
generous,"capable, good, proper, pleasant, satisfactory, great, suitable, valid, friendly, reliable, superior, qualified, genuine, helpful, kindly, fine, safe, profitable, excellent, wonderful"
genuine,"proper, pleasant, superior, qualified, real, safe, capable, exact, great, right, valid, reliable, fine, satisfactory, steady, suitable, friendly, accurate, loyal, profitable, helpful, good, actual, generous, kindly, excellent, wonderful"
get,"acquire, obtain, secure, gain, fetch, find, score, win, earn, rep, catch, net, bag, collect, pick, up, accept, come, by"
gift,present
glad,"cheerful, happy, satisfied, pleased, delighted, gay"
glance,"observe, recognize, for, eye, peer, sight, see, explore, search, examine, survey, inspect, discover, notice, view, study, witness, watch, spy, look"
go,"move, walk"
good,"excellent, fine, superior, wonderful, qualified, suitable, proper, capable, generous, kindly, friendly, pleasant, satisfactory, reliable, safe, profitable, helpful, valid, genuine, great"
gorgeous,"beautiful, attractive, handsome, fair, magnificent, lovely, pretty, fine"
gradual,"late, behind, slow"
great,"considerable, powerful, much"
gross,"rude, low"
ground,earth
guarantee,assure
handsome,"beautiful, attractive, fair, gorgeous, magnificent, lovely, pretty, fine"
happen,occur
happy,"pleased, satisfied, delighted, cheerful, gay, glad"
hard,difficult
hat,cap
hate,dislike
have,"hold, own, contain, acquire, gain, believe, bear, occupy, fill, enjoy"
hear,listen
help,"support, encourage, back, wait, on, attend, serve, benefit"
helpful,"proper, pleasant, superior, qualified, safe, capable, great, valid, reliable, fine, satisfactory, suitable, kind, friendly, profitable, good, generous, genuine, kindly, excellent, wonderful"
hesitate,pause
hide,"cover, screen"
highway,street
hold,"own, have, keep, believe, acquire, buy, contain, enjoy, steal, pick, choose, select, bear, remove, rob, retain, lift, gain, purchase, win, take, occupy, fill, prefer, support, catch"
home,house
honest,"good, proper, right, suitable, just, fair, objective, legal, accurate, correct"
horrible,"plain, unfriendly, unpleasant, wrong, defective, cross, nasty, frightening, shocking, ugly, rank, gross, bad"
house,home
huge,"great, broad, substantial, tall, enormous, big, large"
hurry,"run, speed, race"
hurt,"damage, injure, pain"
icy,"cool, cold, chilly"
idea,"thought, opinion, plan, view"
ill,sick
important,"necessary, valuable, essential, significant, primary, principal, considerable, famous, well-known"
impress,"price, effect, note, sign, ticket, notice, stamp, brand, mark, label"
in,"be, in, pleased, like, enjoy"
inch,centimeter
incorrect,wrong
incredible,"unbelievable, extraordinary, fantastic, amazing, wonderful"
