A1-A2-B1 (4815 in total),POS,,,
on your own,phrase,,,Details
all on your own,phrase,,,
by herself,phrase,,,
himself,phrase,,,Details
by itself,phrase,,,Details
itself,,,,Details
by myself,phrase,,,
myself,,,,Details
ourselves,,,,
by themselves,phrase,,,
themselves,,,,Details
by yourself,phrase,,,
yourself,,,,Details
Good morning,phrase,,,
Morning,,,,Details
just in case,phrase,,,
in case,,,,Details
that's fine,phrase,,,
fine,,,,Details
a bit,phrase,,,
book lover,phrase,,,Details
cat lover,,,,
(sth) lover,,,,
dog lover,,,,
a broad range,phrase,,,Details
a broad variety,,,,
a broken (sth),phrase,,,Details
a change of clothes,phrase,,,Details
a dance school,phrase,,,Details
a language school,,,,
(sth) school,,,,
a few,phrase,,,Details
a hand,phrase,,,Details
a horror film,phrase,,,Details
a little bit,phrase,,,Details
a little sth,phrase,,,Details
a horror movie,phrase,,,
a horror story,phrase,,,
a load,phrase,,,Details
a lot,phrase,,,Details
loads,phrase,,,
a lot,phrase,,,Details
a pity,phrase,,,Details
a quick worker,phrase,,,Details
a slow worker,,,,Details
a good worker,,,,
a sales assistant,phrase,,,
a shop assistant,,,,Details
a sense of humour,phrase,,,
a shame,phrase,,,Details
a sheet of paper,phrase,,,Details
a piece of glass,,,,Details
a sound effect,phrase,,,
a special effect,,,,Details
a visual effect,,,,
a thing,phrase,,,
a variety of,phrase,,,Details
a while,phrase,,,Details
a wide range,phrase,,,Details
a wide selection,,,,Details
a wide variety,,,,
a.m.,adverb,,,
way of life,phrase,,,Details
abbreviation,,,,Details
ability,noun,,,Details
able,,,,Details
about,adverb,,,Details
about to,,,,Details
above,adverb,,,Details
above all,phrase,,,Details
abroad,adverb,,,Details
absence,,,,Details
absent,adjective,,,Details
absolutely,adverb,,,Details
accent,noun,,,Details
accept,verb,,,Details
acceptable,adjective,,,Details
access,noun,,,Details
accident,noun,,,Details
accommodation,noun,,,Details
accompany,verb,,,Details
according to,preposition,,,Details
account,noun,,,Details
accountancy,,,,Details
accountant,noun,,,Details
accounting,,,,Details
accounts,,,,Details
accuracy,,,,Details
accurate,adjective,,,Details
accurately,adverb,,,Details
ache,noun,,,Details
achieve,verb,,,Details
achievement,noun,,,Details
acknowledge,,,,Details
acquaintance,,,,Details
acquire,,,,Details
acquisition,,,,Details
across,adverb,,,Details
act,noun,,,Details
action,noun,,,Details
active,adjective,,,Details
activity,noun,,,Details
actor,noun,,,Details
actual,,,,Details
actually,adverb,,,Details
ad,noun,,,Details
adapt,,,,Details
add,verb,,,Details
add up (sth),phrasal verb,,,Details
add (sth) up,,,,Details
addition,,,,Details
additional,,,,Details
address,noun,,,Details
adjective,noun,,,Details
adjust,,,,Details
administration,,,,Details
administrative,,,,Details
administrator,,,,Details
admire,verb,,,Details
admission,noun,,,Details
admit,verb,,,Details
adult,adjective,,,Details
advance,,,,Details
advanced,adjective,,,Details
advantage,noun,,,Details
adventure,noun,,,Details
adverb,noun,,,Details
advert,noun,,,Details
advertise,verb,,,Details
advertisement,noun,,,Details
advertising,,,,Details
advice,noun,,,Details
advice note,,,,Details
advise,verb,,,Details
aeroplane,noun,,,Details
affair,,,,Details
affect,,,,Details
afford,,,,Details
afraid,adjective,,,Details
after,preposition,,,Details
after all,phrase,,,Details
after that,,,,Details
after-sales service,,,,Details
afternoon,noun,,,
afterwards,adverb,,,Details
again,adverb,,,Details
again and again,phrase,,,Details
against,preposition,,,Details
age,noun,,,Details
aged,adjective,,,Details
agency,noun,,,Details
agenda,,,,Details
agent,,,,Details
agents,,,,Details
ages,noun,,,Details
aggressive,,,,Details
ago,adverb,,,Details
agree,verb,,,Details
agricultural,,,,Details
agriculture,,,,Details
ahead,adverb,,,Details
aim,noun,,,Details
aim to do (sth),phrase,,,Details
air,noun,,,Details
air conditioning,noun,,,Details
air force,noun,,,Details
air-conditioned,,,,Details
