word,synonyms,is_original
able,capable,True
absent,away,False
accept,"score, fetch, secure, find, obtain, bag, earn, rep, up, gain, acquire, pick, by, get, catch, win, come, net, collect",False
accident,crash,False
account,"for, clarify, interpret, story, record, explain",False
accurate,"right, proper, exact, valid, genuine, real, actual, steady, loyal",True
achieve,"carry, effect, keep, set, build, place, put, attach, establish, do, save, finish, out",False
acknowledge,"answer, respond, reply",False
acquire,"effect, find, create, own, have, believe, develop, buy, perform, contain, make, get, net, enjoy, hold, score, manufacture, rep, steal, build, pick, choose, construct, select, bear, come, collect, remove, fetch, rob, form, lift, invent, gain, purchase, win, bag, secure, obtain, take, earn, occupy, fill, up, accept, prefer, do, produce, catch, design, by",False
act,behave,False
actual,"proper, exact, steady, right, valid, accurate, loyal, genuine, real",False
additional,extra,False
admire,"fancy, care, for, love, like",False
advance,"approach, near, arrive, come, reach",False
advise,"deliver, sing, inform, thunder, declare, command, tell, suppose, train, content, announce, show, issue, scream, pronounce, state, direct, order, voice, deny, explain, repeat, reveal, express, assure, speak, insist, teach",False
afraid,"worried, terrified, shy, frightened, scared, shocked",False
aged,"old, ancient, traditional, mature, former, old-fashioned, weak",False
aim,purpose,True
alarm,fear,False
alike,same,True
alive,"eager, enthusiastic, keen, to, interested",False
all,every,True
allow,permit,True
almost,nearly,False
amazing,"incredible, unbelievable, wonderful, fantastic, extraordinary",True
amount,quantity,True
amusing,"funny, comic, silly",False
ancient,"old, aged, traditional, mature, former, old-fashioned, weak",False
angry,"mad, furious, excited",True
animated,"attractive, lively, curious, bright, keen, spicy, exciting, fascinating, sharp, intelligent, challenging, interesting",False
announce,"deliver, sing, inform, thunder, declare, command, suppose, train, content, issue, scream, pronounce, state, direct, order, voice, deny, explain, advise, reveal, express, assure, speak, insist, teach",False
annoy,bother,False
answer,"reply, respond, acknowledge",True
approach,"near, advance, arrive, come, reach",False
area,"site, state, spot, set, station, region, location, position, situation, place, space",False
arrangement,"method, plan, map, procedure, diagram, scheme, draw, design, way",False
arrive,reach,True
ask,"question, inquire, of, information, from, put, question, to, demand, request, expect, inquire, query, examine, quiz",True
assure,guarantee,True
attach,"effect, keep, set, achieve, build, put, establish, do, save, place",False
attempt,try,False
attend,"help, on, wait, encourage, benefit, back, support, serve",False
attractive,"beautiful, lively, handsome, intelligent, fair, animated, curious, bright, keen, spicy, gorgeous, exciting, magnificent, lovely, pretty, fascinating, sharp, fine, challenging, interesting",False
author,writer,False
away,absent,True
awful,"terrible, bad, poor, unpleasant",True
back,"help, attend, on, wait, encourage, benefit, support, serve",False
bad,"defective, unpleasant, cross, nasty, unfriendly, horrible, wrong, gross, rank",True
bag,"score, fetch, secure, find, obtain, earn, rep, up, gain, acquire, pick, accept, by, get, catch, win, come, net, collect",False
be,"in, enjoy, pleased, like",False
bear,"occupy, own, fill, have, believe, acquire, gain, contain, enjoy, hold",False
beautiful,"pretty, lovely, handsome, attractive, gorgeous, magnificent, fair, fine",True
begin,"start, open, launch, initiate, commence",True
behave,act,True
behind,"late, gradual, slow",False
believe,"consider, trust, occupy, own, fill, have, think, acquire, gain, contain, judge, bear, enjoy, hold",False
below,under,True
benefit,"help, attend, on, wait, encourage, back, support, serve",False
big,"enormous, huge, large, great, tall, substantial, broad",True
black,"sad, dark",False
blank,empty,True
bold,brave,False
boring,"uninteresting, plain, stupid, dead, dull, slow",False
bother,annoy,True
brand,"price, effect, note, sign, ticket, notice, impress, stamp, mark, label",False
brave,bold,True
break,crash,True
breeze,"walk, jog, coast, stir, slide, inch, race, journey, plug, trip, slip, go, run, move, sail, tear, ride, drag, hurry, travel, flow",False
bright,"shiny, brilliant, intelligent, smart",True
brilliant,"intelligent, smart, bright, shiny",False
broad,wide,True
build,"effect, create, develop, keep, acquire, perform, attach, make, get, place, manufacture, achieve, construct, form, invent, gain, put, obtain, earn, set, establish, do, save, produce, design",False
business,trade,True
buy,purchase,True
by,"score, fetch, secure, find, obtain, bag, earn, rep, up, gain, acquire, pick, accept, get, catch, win, come, net, collect",False
cab,taxi,False
calm,"quiet, peaceful, still, mild, smooth",True
cancel,"destroy, murder, kill",False
cap,hat,False
capable,"proper, pleasant, superior, qualified, safe, great, valid, reliable, fine, satisfactory, suitable, friendly, profitable, helpful, good, competent, generous, genuine, able, excellent, wonderful, kindly",False
care,"fancy, for, admire, love, like",False
career,job,False
carpet,rug,False
carry,"effect, achieve, perform, do, finish, out",False
catch,"find, buy, acquire, get, net, hold, score, rep, steal, pick, choose, select, come, collect, remove, fetch, rob, lift, gain, purchase, win, bag, secure, obtain, take, earn, occupy, up, accept, prefer, by",False
center,middle,True
certain,"definite, determined, sure, clear, positive, obvious",False
challenging,"attractive, lively, animated, curious, bright, keen, spicy, exciting, fascinating, sharp, intelligent, interesting",False
chance,opportunity,False
cheerful,"happy, satisfied, pleased, glad, delighted, gay",False
child,kid,True
chilly,"cool, cold, icy",False
choose,pick,True
circular,round,False
