"be (am, are, is, was, were, being, been)",Aim At,Abstain from,of
can,Ask For,Accuse of,with
could,Ask Out,Add to,at
dare,Back Down,Allow to,from
"do, does, did",Back Off,Apologize for,into
"have, has, had, having",Back Up,Approve of,during
may,Beat Up,Arrest for,including
might,Beef Up,Ask about,until
must,Believe In,Ask for,against
need,Bite Off,Attend to,among
ought,Blow Away,Aware of,throughout
shall,Blow Off,Belong to,despite
should,Blow Out,Borrow from,towards
will,Blow Up,Call for,upon
would,Boil Down To,Care about,concerning
able,Break Down,Carve from,to
,Break In,Check for,in
,Break Off,Choose from,for
,Break Out,Come from,on
,Break Through,Complain about,by
,Break Up,Composed of,about
,Bring Back,Connect to,like
,Bring Over,Consent to,through
,Bring Up,Consist of,over
,Brush Off,Convert to,before
,Brush Up,Dedicate to,between
,Build In/Into,Deprived of,after
,Bump Into,Derive from,since
,Burn Down,Devoid of,without
,Burn Out,Emerge from,under
,Burn Up,Expect from,within
,Burst Out,Fear for,along
,Butt In,Fine for,following
,Call Back,Fond of,across
,Call In,Forbid from,behind
,Call Off,Forget about,beyond
,Call Up,Forgive for,plus
,Calm Down,Ged rid of,except
,Care For,Hear about,but
,Carry Away,Hinder from,up
,Carry On,Hope for,out
,Carry Out,Irrespective of,around
,Catch On,Joke about,down
,Catch Up,Know about,off
,Cheat On,Laugh about,above
,Check In,Listen to,near
,Check Out,Prepare for,
,Chicken Out,Prevent from,
,Chop Up,Refer to,
,Clean Out,Short of,
,Clear Out,Suffer from,
,Clear Up,Talk about,
,Clog Up,Talk to,
,Close Down,Thank for,
,Close Off,Think about,
,Come About,Wait for,
,Come Across,Worry about,
,Come Apart,Write about,
,Come Back,Yield to,
,Come Down,,
,Come Down To,,
,Come Down With,,
,Come In,,
,Come Off,,
,Come On,,
,Come Out,,
,Come Over,,
,Come Through,,
,Come Up,,
,Come Up With,,
,Con Into,,
,Con Out Of,,
,Cool Off,,
,Count On,,
,Count Up,,
,Cover Up,,
,Crack Down,,
,Cross Off,,
,Cut Back,,
,Cut Down,,
,Cut Off,,
,,,
,Cut Out,,
,Cut Up,,
,Deal With,,
,Do Away With,,
,Do Over,,
,Do With,,
,Do Without,,
,Doze Off,,
,Dress Up,,
,Drop In,,
,Drop Off,,
,Drop Out,,
,Dry Off,,
,Dry Out,,
,Dry Up,,
,Eat Up,,
,Empty Out,,
,End Up,,
,Fall Apart,,
,Fall Behind,,
,Fall Down,,
,Fall For,,
,Fall Off,,
,Fall Out,,
,Fall Over,,
,Fall Through,,
,Feel Up To,,
,Fight Back,,
,Figure On,,
,Fill In,,
,Fill Out,,
,Fill Up,,
,Find Out,,
,Fix Up,,
,Flip Out,,
,Float Around,,
,Follow Up,,
,Fool Around,,
,Freak Out,,
,Get Ahead,,
,Get Along,,
,Get Around To,,
,Get Away,,
,Get Back,,
,Get Back At,,
,Get Back To,,
,Get Behind,,
,Get By,,
,Get Down,,
,Get In,,
,Get Off,,
,Get Off On,,
,Get On,,
,Get Out,,
,Get Out Of,,
,Get Over,,
,Get Over With,,
,Get Through,,
,Get To,,
,Get Together,,
,Get Up,,
,Give Away,,
,Give In,,
,Give Out,,
,Give Up,,
,Go About,,
,Go After,,
,Go Ahead,,
,Go Along With,,
,Go Around,,
,Go Away,,
,Go Back,,
,Go Back On,,
,Go Beyond,,
,Go By,,
,Go Down,,
,Go For,,
,Go In,,
,Go In For,,
,Go In/Into,,
,Go Off,,
,Go On,,
,Go Out,,
,Go Over,,
,Go Through With,,
,Go Up,,
,Go With,,
,Goof Around,,
,Gross Out,,
,Grow Out Of,,
,Grow Up,,
,Hand Back,,
,Hand In,,
,Hand Out,,
,Hand Over,,
,Hang Around,,
,Hang On,,
,Hang Out,,
,Hang Up,,
,Have On,,
,Head Back,,
,Head For,,
,Head Toward,,
,Hear About,,
,Hear Of,,
,Heat Up,,
,Help Out,,
,Hit On,,
,Hold Against,,
,Hold Off,,
,Hold On,,
,Hold Out,,
,Hold Up,,
,Hook Up,,
,Hurry Up,,
,Keep At,,
,Keep Away,,
,Keep Down,,
,Keep From,,
,Keep Off,,
,Keep On,,
,Keep To,,
,Keep Up,,
,Kick Back,,
,Kick Out,,
,Knock Off,,
,Knock Out,,
,Knock Over,,
,Know About,,
,Lay Down,,
,Lay Off,,
,Lead Up To,,
,Leave Behind,,
,Leave Off,,
,Leave Out,,
,Leave Over,,
,Let Down,,
,Let In,,
,Let Off,,
,Let On,,
,Let Out,,
,Let Up,,
,Lie Around,,
,Lift Up,,
,Light Up,,
,Lighten Up,,
,Line Up,,
,Live With,,
,Lock In,,
,Lock Out,,
,Lock Up,,
,Look Around,,
,Look At,,
,Look Down On,,
,Look Forward To,,
,Look Into,,
,Look Out,,
,Look Over,,
,Look Up,,
,Look Up To,,
,Luck Out,,
,Make For,,
,Make Of,,
,Make Up,,
,Mess Up,,
,Mix Up,,
,Monkey Around With,,
,Move In,,
,Move Out,,
,Narrow Down,,
,Pay Back,,
,Pay For,,
,Pay Off,,
,Pay Up,,
,Pick On,,
,Pick Out,,
,Pick Up,,
,Pile Up,,
,Piss Off,,
,Plan Ahead,,
,Plan For,,
,Plan On,,
,Plug In,,
,Plug In/Into,,
,Plug Up,,
,Point Out,,
,Point To,,
,Print Out,,
,Pull Off,,
,Pull Out,,
,Pull Over,,
,Pull Through,,
,Punch In,,
,Punch Out,,
,Put Away,,
,Put Back,,
,Put Down,,
,Put In,,
,Put Off,,
,Put Out,,
,Put Past,,
,Put To,,
,Put Together,,
,Put Up,,
,Put Up To,,
,Put Up With,,
,Ring Up,,
,Rip Off,,
,Rip Up,,
,Rule Out,,
,Run Across,,
,Run Around,,
,Run Down,,
,Run Into,,
,Run Out,,
,Run Over,,
,Run Up,,
